District_Name,Crop_Year,Season,Crop,Area,Production,pH_min,pH_max,pH_Req,pH_min_Range,pH_max_Range,min_temp,max_temp,min_rainfall,max_rainfall
1,1997,1,1,1,1113,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1997,2,2,274100,152800,7,7.5,6.3,6,7,20,28,40,75
1,1997,2,3,900,1100,7,7.5,6.4,6,7.5,24,32,37,90
1,1997,2,1,4400,4700,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1997,2,4,10200,900,7,7.5,6.6,6.2,7.2,25,25,78,100
1,1997,2,5,5900,7200,7,7.5,6.2,5.5,7,16,27,100,200
1,1997,2,6,45900,38940,7,7.5,6.5,5,8.5,25,35,100,170
1,1997,3,3,598400,217000,7,7.5,6.4,6,7.5,24,32,37,90
1,1997,3,1,6200,9100,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1997,3,7,79700,87100,7,7.5,5.8,5.5,6.5,14,25,47,103
1,1997,4,1,1100,1900,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1997,5,8,98,17900,7,7.5,6,5.8,8,20,28,55,120
1,1998,2,2,302400,243900,7,7.5,6.3,6,7,20,28,40,75
1,1998,2,8,12100,19900,7,7.5,6,5.8,8,20,28,55,120
1,1998,2,9,7100,6200,7,7.5,6.4,5.5,7,21,30,40,125
1,1998,2,3,300,500,7,7.5,6.4,6,7.5,24,32,37,90
1,1998,2,1,5800,12500,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1998,2,4,15600,9100,7,7.5,6.6,6.2,7.2,25,25,78,100
1,1998,2,5,5600,7400,7,7.5,6.2,5.5,7,16,27,100,200
1,1998,2,6,59600,5231800,7,7.5,6.5,5,8.5,25,35,100,170
1,1998,2,10,11500,3500,7,7.5,6.8,6,7.5,20,35,40,70
1,1998,3,3,453200,227900,7,7.5,6.4,6,7.5,24,32,37,90
1,1998,3,1,7900,12200,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1998,3,10,9200,5100,7,7.5,6.8,6,7.5,20,35,40,70
1,1998,3,7,124400,154200,7,7.5,5.8,5.5,6.5,14,25,47,103
1,1998,4,9,15000,25700,7,7.5,6.4,5.5,7,21,30,40,125
1,1998,4,1,1500,2300,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1998,4,10,300,200,7,7.5,6.8,6,7.5,20,35,40,70
1,1999,2,2,310600,178300,7,7.5,6.3,6,7,20,28,40,75
1,1999,2,8,15000,22600,7,7.5,6,5.8,8,20,28,55,120
1,1999,2,9,7300,5400,7,7.5,6.4,5.5,7,21,30,40,125
1,1999,2,3,800,700,7,7.5,6.4,6,7.5,24,32,37,90
1,1999,2,1,6400,9500,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1999,2,4,16800,3700,7,7.5,6.6,6.2,7.2,25,25,78,100
1,1999,2,5,5700,8000,7,7.5,6.2,5.5,7,16,27,100,200
1,1999,2,10,11200,3900,7,7.5,6.8,6,7.5,20,35,40,70
1,1999,3,3,498300,190900,7,7.5,6.4,6,7.5,24,32,37,90
1,1999,3,1,8800,13900,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1999,3,10,8800,5000,7,7.5,6.8,6,7.5,20,35,40,70
1,1999,3,7,127000,178800,7,7.5,5.8,5.5,6.5,14,25,47,103
1,1999,4,9,14100,27800,7,7.5,6.4,5.5,7,21,30,40,125
1,1999,4,1,1700,2800,7,7.5,6.4,5.8,6.8,18,27,45,100
1,1999,4,10,300,200,7,7.5,6.8,6,7.5,20,35,40,70
1,1999,5,6,66600,5962900,7,7.5,6.5,5,8.5,25,35,100,170
1,2000,2,2,326100,187300,7,7.5,6.3,6,7,20,28,40,75
1,2000,2,8,15700,25600,7,7.5,6,5.8,8,20,28,55,120
1,2000,2,9,6800,6100,7,7.5,6.4,5.5,7,21,30,40,125
1,2000,2,3,800,700,7,7.5,6.4,6,7.5,24,32,37,90
1,2000,2,1,7000,4400,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2000,2,4,19400,8400,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2000,2,5,5500,3800,7,7.5,6.2,5.5,7,16,27,100,200
1,2000,2,10,10500,5300,7,7.5,6.8,6,7.5,20,35,40,70
1,2000,3,3,518700,160800,7,7.5,6.4,6,7.5,24,32,37,90
1,2000,3,1,14000,16200,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2000,3,10,7800,4000,7,7.5,6.8,6,7.5,20,35,40,70
1,2000,3,7,94700,135800,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2000,4,9,11000,18300,7,7.5,6.4,5.5,7,21,30,40,125
1,2000,4,10,200,100,7,7.5,6.8,6,7.5,20,35,40,70
1,2000,5,6,67100,5163900,7,7.5,6.5,5,8.5,25,35,100,170
1,2001,2,2,194400,82000,7,7.5,6.3,6,7,20,28,40,75
1,2001,2,8,13500,16700,7,7.5,6,5.8,8,20,28,55,120
1,2001,2,9,5700,4500,7,7.5,6.4,5.5,7,21,30,40,125
1,2001,2,3,200,100,7,7.5,6.4,6,7.5,24,32,37,90
1,2001,2,1,6400,9800,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2001,2,4,21000,3600,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2001,2,5,7300,4100,7,7.5,6.2,5.5,7,16,27,100,200
1,2001,2,10,8600,2900,7,7.5,6.8,6,7.5,20,35,40,70
1,2001,3,3,528900,175000,7,7.5,6.4,6,7.5,24,32,37,90
1,2001,3,1,12300,22600,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2001,3,10,5400,7000,7,7.5,6.8,6,7.5,20,35,40,70
1,2001,3,7,93800,156300,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2001,4,9,11000,17200,7,7.5,6.4,5.5,7,21,30,40,125
1,2001,4,1,1500,2100,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2001,4,10,100,100,7,7.5,6.8,6,7.5,20,35,40,70
1,2001,5,6,52000,3596300,7,7.5,6.5,5,8.5,25,35,100,170
1,2002,2,2,218400,158900,7,7.5,6.3,6,7,20,28,40,75
1,2002,2,8,10800,8300,7,7.5,6,5.8,8,20,28,55,120
1,2002,2,9,5800,4000,7,7.5,6.4,5.5,7,21,30,40,125
1,2002,2,3,100,100,7,7.5,6.4,6,7.5,24,32,37,90
1,2002,2,1,7000,12300,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2002,2,4,21000,10100,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2002,2,5,7400,1700,7,7.5,6.2,5.5,7,16,27,100,200
1,2002,2,10,9300,3500,7,7.5,6.8,6,7.5,20,35,40,70
1,2002,3,3,494900,117300,7,7.5,6.4,6,7.5,24,32,37,90
1,2002,3,1,11700,9100,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2002,3,10,4200,1800,7,7.5,6.8,6,7.5,20,35,40,70
1,2002,3,7,70400,88500,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2002,4,9,5800,9900,7,7.5,6.4,5.5,7,21,30,40,125
1,2002,4,1,1100,1800,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2002,5,6,49400,3303000,7,7.5,6.5,5,8.5,25,35,100,170
1,2003,2,2,204100,70800,7,7.5,6.3,6,7,20,28,40,75
1,2003,2,8,10400,10400,7,7.5,6,5.8,8,20,28,55,120
1,2003,2,9,4200,2600,7,7.5,6.4,5.5,7,21,30,40,125
1,2003,2,3,100,200,7,7.5,6.4,6,7.5,24,32,37,90
1,2003,2,1,6700,6400,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2003,2,4,8800,2500,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2003,2,5,7600,5900,7,7.5,6.2,5.5,7,16,27,100,200
1,2003,2,10,7500,2000,7,7.5,6.8,6,7.5,20,35,40,70
1,2003,3,3,478300,55100,7,7.5,6.4,6,7.5,24,32,37,90
1,2003,3,1,10500,5400,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2003,3,10,2100,700,7,7.5,6.8,6,7.5,20,35,40,70
1,2003,3,7,39200,39500,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2003,4,9,1300,2400,7,7.5,6.4,5.5,7,21,30,40,125
1,2003,4,10,100,100,7,7.5,6.8,6,7.5,20,35,40,70
1,2003,5,6,31200,1486800,7,7.5,6.5,5,8.5,25,35,100,170
1,2004,2,2,240500,143400,7,7.5,6.3,6,7,20,28,40,75
1,2004,2,9,5300,3900,7,7.5,6.4,5.5,7,21,30,40,125
1,2004,2,3,100,100,7,7.5,6.4,6,7.5,24,32,37,90
1,2004,2,1,11400,14000,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2004,2,4,13100,4300,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2004,2,5,8000,5800,7,7.5,6.2,5.5,7,16,27,100,200
1,2004,2,10,11000,5800,7,7.5,6.8,6,7.5,20,35,40,70
1,2004,3,3,555000,263300,7,7.5,6.4,6,7.5,24,32,37,90
1,2004,3,1,10900,22100,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2004,3,10,2600,1500,7,7.5,6.8,6,7.5,20,35,40,70
1,2004,3,7,89300,154600,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2004,4,9,9500,11700,7,7.5,6.4,5.5,7,21,30,40,125
1,2004,4,1,3100,4300,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2004,4,10,100,100,7,7.5,6.8,6,7.5,20,35,40,70
1,2004,5,8,15900,26700,7,7.5,6,5.8,8,20,28,55,120
1,2004,5,6,17000,1001800,7,7.5,6.5,5,8.5,25,35,100,170
1,2005,2,2,217700,54800,7,7.5,6.3,6,7,20,28,40,75
1,2005,2,8,16600,22800,7,7.5,6,5.8,8,20,28,55,120
